コード,名称,市場,セクター,時価総額,発行株式数,株価,配当金,業種別PER,EPS,BPR
1808,長谷工コーポレーション,東証一部,建設,466833,300794397,1552,40.00,12.9,209.58,806.21
1810,松井建設,東証一部,建設,29907,30580000,978,20.00,12.9,104.85,1093.59
1811,錢高組,東証一部,建設,39339,7353140,5350,-,12.9,369.96,8492.80
1812,鹿島建設,東証一部,建設,1207450,1057312022,1142,20.00,12.9,79.00,555.90
1813,不動テトラ,東証一部,建設,34585,182025228,190,4.00,12.9,11.77,137.83
1814,大末建設,東証一部,建設,10423,10614225,982,20.00,12.9,187.61,1157.00
1815,鉄建建設,東証一部,建設,55781,15668956,3560,50.00,12.9,237.03,3266.81
1820,西松建設,東証一部,建設,184286,55591502,3315,85.00,12.9,273.30,3077.00
1821,三井住友建設,東証一部,建設,111919,162673321,688,15.00,12.9,86.12,364.94
1822,大豊建設,東証一部,建設,45590,87170143,523,-,12.9,64.86,578.75
1824,前田建設工業,東証一部,建設,267042,197955682,1349,14.00,12.9,105.26,1030.79
1826,佐田建設,東証一部,建設,7326,15521233,472,13.00,12.9,53.52,757.94
1827,ナカノフドー建設,東証一部,建設,21527,34498097,624,7.00,12.9,101.82,755.07
1828,田辺工業,東証二部,建設,10567,10728000,985,20.00,12.9,112.14,1190.37
1832,北海電気工事,札証,建設,9861,19722027,500,10.00,12.9,35.26,1041.96
1833,奥村組,東証一部,建設,191109,45665226,4185,129.00,12.9,258.53,3882.90
1835,東鉄工業,東証一部,建設,130321,36100000,3610,50.00,12.9,275.02,1991.70
1840,土屋ホールディングス,東証二部,建設,5439,25775118,211,5.00,12.9,5.16,496.42
1841,サンユー建設,JQS,建設,3992,4000000,998,25.00,12.9,107.84,2752.81
1844,大盛工業,東証二部,建設,3192,14848429,215,5.00,12.9,15.84,236.46
1846,鈴縫工業,東証二部,建設,3296,10596509,311,10.00,12.9,37.37,488.92
1847,イチケン,東証一部,建設,19043,7268400,2620,45.00,12.9,345.02,2021.99
1848,富士ピー・エス,東証二部,建設,10120,18602244,544,9.00,12.9,40.63,378.50
1850,南海辰村建設,東証二部,建設,17878,288357304,62,0.00,12.9,5.20,36.00
1852,淺沼組,東証一部,建設,31056,85086293,365,11.00,12.9,52.76,363.46
1853,森組,東証二部,建設,7249,32800000,221,3.00,12.9,30.53,250.21
1860,戸田建設,東証一部,建設,282002,322656796,874,12.00,12.9,45.59,752.55
1861,熊谷組,東証一部,建設,130630,37754460,3460,70.00,12.9,391.04,2147.50
1865,青木あすなろ建設,東証一部,建設,59750,59100000,1011,20.00,12.9,80.33,1090.98
1866,北野建設,東証一部,建設,34594,68368532,506,9.00,12.9,43.38,506.96
1867,植木組,東証一部,建設,9310,3436764,2709,75.00,12.9,302.10,5597.96
1868,三井ホーム,東証一部,建設,45121,66355000,680,16.00,12.9,46.78,694.13
1869,名工建設,名証二部,建設,27195,27060000,1005,14.00,12.9,95.07,1569.37
1870,矢作建設工業,東証一部,建設,44830,44607457,1005,24.00,12.9,92.16,968.95
1871,ピーエス三菱,東証一部,建設,30723,47486029,647,12.00,12.9,47.44,525.88
1873,日本ハウスホールディングス,東証一部,建設,30337,45964842,660,20.00,12.9,71.94,440.12
1878,大東建託,東証一部,建設,1583129,76869579,20595,559.00,12.9,1133.08,3568.27
1879,新日本建設,東証一部,建設,57188,61360720,932,17.00,12.9,145.39,826.93
1881,NIPPO,東証一部,建設,272953,119401836,2286,35.00,12.9,197.32,2422.92
1882,東亜道路工業,東証一部,建設,22994,5220023,4405,100.00,12.9,670.49,7121.54
1883,前田道路,東証一部,建設,225324,94159453,2393,55.00,12.9,212.05,2235.98
1884,日本道路,東証一部,建設,63451,9761618,6500,150.00,12.9,511.86,8804.30
1885,東亜建設工業,東証一部,建設,49083,22494629,2182,10.00,12.9,38.28,3150.70
1888,若築建設,東証一部,建設,23933,12964993,1846,40.00,12.9,192.98,1767.70
1890,東洋建設,東証一部,建設,47752,94371183,506,12.00,12.9,51.07,437.39
1892,徳倉建設,名証二部,建設,6110,2207285,2768,60.00,12.9,1359.95,5154.00
1893,五洋建設,東証一部,建設,206502,286013910,722,12.00,12.9,54.21,345.67
1897,金下建設,東証二部,建設,13133,19033300,690,10.00,12.9,12.33,1388.40
1898,世紀東急工業,東証一部,建設,27199,40414407,673,17.00,12.9,136.25,629.43
1899,福田組,東証一部,建設,58872,8988111,6550,90.00,12.9,507.05,6293.81
1904,大成温調,JQS,建設,12993,7182487,1809,36.00,12.9,176.03,3240.87
1905,テノックス,JQS,建設,9471,7694080,1231,29.00,12.9,129.57,1597.65
1906,細田工務店,JQS,建設,2814,19016512,148,0.00,12.9,12.70,296.37
1909,日本ドライケミカル,東証一部,機械,8633,3590906,2404,60.00,16.8,340.06,2899.23
1911,住友林業,東証一部,建設,328564,177410239,1852,40.00,12.9,186.31,1543.35
1914,日本基礎技術,東証一部,建設,12184,30846400,395,8.00,12.9,3.56,817.57
1916,日成ビルド工業,東証一部,建設,44659,35556584,1256,40.00,12.9,114.27,683.85
1919,ヤマダ・エスバイエルホーム,東証一部,建設,16729,204018184,82,0.00,12.9,0.98,17.06
1921,巴コーポレーション,東証一部,建設,17732,40763046,435,6.00,12.9,42.94,668.39
1925,大和ハウス工業,東証一部,建設,2709591,666238205,4067,95.00,12.9,316.44,1987.26
1926,ライト工業,東証一部,建設,64336,57804450,1113,25.00,12.9,119.64,1010.96
1928,積水ハウス,東証一部,建設,1387238,690683466,2008.5,75.00,12.9,185.49,1637.94
1929,日特建設,東証一部,建設,26571,43919291,605,21.00,12.9,51.78,491.44
1930,北陸電気工事,東証一部,建設,26019,24969993,1042,16.00,12.9,141.46,1207.04
1931,日本電通,東証二部,建設,9400,2685600,3500,80.00,12.9,318.12,4771.92
