コード,名称,市場,セクター,時価総額,発行株式数,株価,配当金,業種別PER,EPS,BPR
3258,ユニゾホールディングス,東証一部,不動産,78090,28520700,2738,80.00,17.3,302.90,3265.24
3260,エスポア,名証セント,不動産,596,1524000,391,0.00,17.3,42.34,708.78
3261,グランディーズ,東証マザ,不動産,1696,3837900,442,5.00,17.3,52.89,353.84
3264,アスコット,JQS,不動産,18333,58948922,311,0.00,17.3,12.96,173.47
3266,ファンドクリエーショングループ,JQS,不動産,4647,37475371,124,-,17.3,9.17,65.50
3267,フィル・カンパニー,東証マザ,建設,9440,5070000,1862,0.00,12.9,36.63,155.04
3271,THEグローバル社,東証一部,不動産,10749,13470200,798,25.00,17.3,132.68,552.34
3275,ハウスコム,JQS,不動産,10049,3895000,2580,63.00,17.3,207.59,1226.95
3276,日本管理センター,東証一部,不動産,29109,19025600,1530,37.00,17.3,91.47,220.91
3277,サンセイランディック,東証一部,不動産,7587,8346300,909,15.00,17.3,113.35,858.48
3280,エストラスト,東証一部,不動産,4878,6167000,791,8.00,17.3,107.02,783.21
3284,フージャースホールディングス,東証一部,不動産,32944,31555600,1044,29.00,17.3,141.49,935.27
3286,トラストホールディングス,東証マザ,不動産,2139,5204500,411,16.40,17.3,31.33,126.74
3288,オープンハウス,東証一部,不動産,232375,57447400,4045,65.00,17.3,428.78,1324.48
3289,東急不動産ホールディングス,東証一部,不動産,461398,640830974,720,14.50,17.3,56.67,728.28
3291,飯田グループホールディングス,東証一部,不動産,607412,294431639,2063,60.00,17.3,274.63,2296.60
3293,アズマハウス,JQS,不動産,6926,4031700,1718,70.00,17.3,214.45,3244.48
3294,イーグランド,東証二部,不動産,6330,6362000,995,28.00,17.3,115.81,942.90
3297,東武住販,JQS,不動産,3426,2712400,1263,23.00,17.3,151.55,863.59
3299,ムゲンエステート,東証一部,不動産,27058,24355000,1111,23.00,17.3,167.73,705.36
3300,AMBITION,東証マザ,不動産,4875,3402200,1433,10.00,17.3,49.74,377.37
3302,帝国繊維,東証一部,繊維製品,63579,27170400,2340,30.00,20.7,114.51,1732.90
3306,日本製麻,東証二部,卸売,1631,3673320,444,3.00,14.3,31.36,358.92
3313,ブックオフコーポレーション,東証一部,小売,18375,22573200,814,10.00,27.9,4.87,684.95
3315,日本コークス工業,東証一部,石油・石炭,35677,302349449,118,2.00,8.3,7.29,146.57
3316,東京日産コンピュータシステム,JQS,卸売,3282,1260000,2605,70.00,14.3,230.98,1964.62
3317,フライングガーデン,JQS,小売,6043,1449168,4170,30.00,27.9,110.69,1000.37
3318,メガネスーパー,JQS,小売,11920,158931034,75,0.00,27.9,1.45,2.71
3319,ゴルフダイジェスト・オンライン,東証一部,小売,17689,18274000,968,9.00,27.9,43.86,303.33
3320,クロスプラス,東証二部,卸売,9787,7718800,1268,6.00,14.3,136.66,1506.52
3321,ミタチ産業,東証一部,卸売,11834,7350000,1610,26.00,14.3,126.54,1002.11
3322,アルファグループ,JQS,卸売,5657,3481200,1625,15.00,14.3,30.78,1312.87
3323,レカム,JQS,卸売,6853,60116900,114,1.00,14.3,3.27,25.99
3326,ランシステム,JQS,小売,1934,2070900,934,-,27.9,30.92,889.31
3328,BEENOS,東証一部,小売,14885,12332600,1207,18.00,27.9,61.18,571.58
3329,東和フードサービス,JQS,小売,14592,4093200,3565,19.00,27.9,105.33,1208.46
3333,あさひ,東証一部,小売,36055,26240800,1374,14.00,27.9,90.60,947.70
3341,日本調剤,東証一部,小売,58087,16024000,3625,50.00,27.9,352.56,2323.99
3344,ワンダーコーポレーション,JQS,小売,5211,5579184,934,10.00,27.9,0.00,1737.66
3346,21LADY,名証セント,小売,1886,6959853,271,0.00,27.9,1.44,2.73
3347,トラスト,東証二部,小売,8304,28150000,295,3.00,27.9,21.64,234.76
3349,コスモス薬品,東証一部,小売,477810,20000400,23890,90.00,27.9,858.60,4889.25
3350,レッド・プラネット・ジャパン,JQS,卸売,7278,269570337,27,0.00,14.3,0.37,12.91
3352,バッファロー,JQS,小売,2034,2163833,940,30.00,27.9,82.47,2112.85
3353,メディカル一光,JQS,小売,16626,2035000,8170,80.00,27.9,574.09,4667.86
3355,クリヤマホールディングス,東証二部,卸売,20527,11150100,1841,33.00,14.3,246.31,2017.28
3356,テリロジー,JQS,卸売,5237,15680000,334,0.00,14.3,3.58,36.35
3358,ワイエスフード,JQS,小売,1015,3873000,262,5.00,27.9,8.26,467.60
3359,タイセイ,東証マザ,卸売,4183,3663171,1142,5.00,14.3,55.49,604.57
3360,シップヘルスケアホールディングス,東証一部,卸売,180972,50834700,3560,61.00,14.3,197.63,1786.43
3361,トーエル,東証一部,小売,19782,20415040,969,15.00,27.9,65.34,711.52
3366,一六堂,東証一部,小売,4055,9677200,419,10.00,27.9,33.09,546.52
3370,フジタコーポレーション,JQS,小売,1186,1446400,820,0.00,27.9,13.14,-44.25
3371,ソフトクリエイトホールディングス,東証一部,情報通信,21792,13775139,1582,20.00,23.8,75.98,576.94
3372,関門海,東証二部,小売,5125,12058900,425,0.00,27.9,8.51,57.92
3374,内外テック,JQS,卸売,10310,2929000,3520,25.00,14.3,313.83,1186.21
3375,ZOA,JQS,小売,1853,2296500,807,30.00,27.9,58.47,1103.70
3376,オンリー,東証一部,小売,5339,5972000,894,25.00,27.9,122.93,1228.63
3377,バイク王＆カンパニー,東証二部,卸売,3369,15315600,220,4.00,14.3,0.00,233.79
3382,セブン＆アイ・ホールディングス,東証一部,小売,4167164,886441983,4701,90.00,27.9,200.11,2678.34
3384,アークコア,名証セント,卸売,818,1970000,415,0.00,14.3,71.84,-80.71
3385,薬王堂,東証一部,小売,65146,19741200,3300,20.00,27.9,128.77,788.39
3386,コスモ・バイオ,JQS,卸売,7088,6048000,1172,14.00,14.3,38.80,1090.92
3387,クリエイト・レストランツ・ホールディングス,東証一部,小売,111678,94722642,1179,10.00,27.9,34.96,215.61
3388,明治電機工業,東証一部,卸売,21347,12067120,1769,40.00,14.3,140.53,1503.97
3390,INEST,JQS,卸売,7660,53197169,144,-,14.3,-9.06,15.17
3391,ツルハホールディングス,東証一部,小売,689341,48993668,14070,140.00,27.9,514.72,3561.83
3392,デリカフーズホールディングス,東証一部,卸売,11429,7436000,1537,16.00,14.3,67.77,968.75
3393,スターティア,東証一部,卸売,6288,10240400,614,9.00,14.3,11.09,388.76
3395,サンマルクホールディングス,東証一部,小売,77215,22777370,3390,62.00,27.9,211.04,2040.52
3396,フェリシモ,東証一部,小売,13217,10043500,1316,5.00,27.9,95.11,2214.77
3397,トリドールホールディングス,東証一部,小売,152373,43411045,3510,26.50,27.9,131.71,793.61
3399,丸千代山岡家,JQS,小売,3108,2469000,1259,14.00,27.9,52.18,611.73
3401,帝人,東証一部,繊維製品,459094,196951733,2331,60.00,20.7,223.65,1840.80
3402,東レ,東証一部,繊維製品,1782393,1631481403,1092.5,14.00,20.7,62.53,650.92
3405,クラレ,東証一部,化学,770764,354863603,2172,42.00,17.6,130.79,1501.32
3407,旭化成,東証一部,化学,1875298,1402616332,1337,24.00,17.6,82.34,837.81
3408,サカイオーベックス,東証一部,繊維製品,15117,6636258,2278,45.00,20.7,295.44,2697.14
3409,北日本紡績,東証二部,繊維製品,1535,1291100,1189,0.00,20.7,8.10,404.04
3415,TOKYO_BASE,東証一部,小売,59077,13565300,4355,0.00,27.9,89.77,235.01
3416,ピクスタ,東証マザ,小売,2936,2231340,1316,0.00,27.9,1.79,286.83
3417,大木ヘルスケアホールディングス,JQS,卸売,12496,14072100,888,-,14.3,-,978.20
3418,バルニバービ,東証マザ,小売,11804,4185800,2820,15.00,27.9,97.95,531.27
3419,アートグリーン,名証セント,卸売,3075,1121200,2743,0.00,14.3,32.12,368.38
3420,ケー・エフ・シー,東証二部,金属製品,16121,7378050,2185,40.00,16.2,203.81,1550.55
3421,稲葉製作所,東証一部,金属製品,25145,17922429,1403,26.00,16.2,22.78,2143.15
3422,丸順,名証二部,金属製品,9425,10357200,910,-,16.2,112.07,408.70
3423,エスイー,JQS,金属製品,8596,15628300,550,18.00,16.2,30.56,500.19
3424,ミヤコ,JQS,金属製品,4285,4587836,934,25.00,16.2,101.08,1279.22
3426,アトムリビンテック,JQS,金属製品,4417,4105000,1076,30.00,16.2,95.24,2076.12
3431,宮地エンジニアリンググループ,東証一部,金属製品,20489,6919454,2961,40.00,16.2,235.06,2879.53
3433,トーカロ,東証一部,金属製品,66123,15800000,4185,90.00,16.2,263.18,2053.33
3434,アルファ,東証一部,金属製品,23450,10200000,2299,30.00,16.2,157.03,2672.37
3435,サンコーテクノ,東証二部,金属製品,10521,8745408,1203,22.00,16.2,98.30,1293.22
3436,SUMCO,東証一部,金属製品,606808,293285539,2069,-,16.2,-,753.25
3437,特殊電極,JQS,金属製品,3116,801000,3890,70.00,16.2,409.72,5099.50
3439,三ツ知,JQS,金属製品,4638,2652020,1749,45.00,16.2,265.45,2995.17
3440,日創プロニティ,福証QB,金属製品,5468,7360000,743,25.00,16.2,72.69,1131.02
3441,山王,JQS,金属製品,6175,5000000,1235,0.00,16.2,5.42,1109.83
3442,MIEコーポレーション,名証二部,金属製品,1378,12090000,114,0.00,16.2,7.47,65.84
3443,川田テクノロジーズ,東証一部,金属製品,36798,5859570,6280,60.00,16.2,362.96,7337.32
3444,菊池製作所,JQS,金属製品,10857,12337700,880,7.00,16.2,6.65,570.87
3445,RSTechnologies,東証一部,金属製品,43478,11134000,3905,-,16.2,147.60,412.65
3452,ビーロット,東証マザ,不動産,11769,4002900,2940,-,17.3,203.32,795.85
3454,ファーストブラザーズ,東証一部,不動産,15138,14445000,1048,15.00,17.3,171.00,758.13
3457,ハウスドゥ,東証一部,不動産,15475,8498000,1821,27.00,17.3,108.26,326.70
3458,シーアールイー,東証一部,不動産,19652,12711400,1546,30.00,17.3,78.67,1243.24
3461,パルマ,東証マザ,不動産,3009,1349200,2230,0.00,17.3,86.74,572.21
3464,プロパティエージェント,JQS,不動産,4904,3340800,1468,18.00,17.3,176.95,988.65
3465,ケイアイスター不動産,東証一部,不動産,30216,14232500,2123,70.00,17.3,235.38,765.71
3467,アグレ都市デザイン,東証二部,不動産,4404,2841600,1550,52.00,17.3,158.37,712.66
3469,デュアルタップ,JQS,不動産,2213,1123500,1970,30.00,17.3,235.00,1228.60
3474,G-FACTORY,東証マザ,不動産,6171,6635000,930,0.00,17.3,52.62,244.76
3475,グッドコムアセット,東証二部,不動産,6399,6071200,1054,20.00,17.3,98.81,505.52
3477,フォーライフ,東証マザ,不動産,3385,1000000,3385,77.00,17.3,344.03,2095.22
3479,ティーケーピー,東証マザ,不動産,74398,33110000,2247,0.00,17.3,370.95,249.63
3480,ジェイ・エス・ビー,東証二部,不動産,18995,4438100,4280,37.00,17.3,332.68,2078.98
3482,ロードスターキャピタル,東証マザ,不動産,15874,4984000,3185,21.00,17.3,144.46,628.01
3501,住江織物,東証一部,繊維製品,24122,76821626,314,7.00,20.7,19.88,442.36
3504,丸八ホールディングス,名証二部,繊維製品,14971,16579060,903,30.00,20.7,74.33,2902.27
3512,日本フエルト,東証一部,繊維製品,9981,19842089,503,13.00,20.7,27.54,847.74
3513,イチカワ,東証一部,繊維製品,8568,24835758,345,12.00,20.7,19.35,769.60
3515,フジコー,JQS,繊維製品,3485,1000000,3485,40.00,20.7,262.91,9993.73
3521,エコナックホールディングス,東証一部,サービス,5597,42728733,131,0.00,25.0,2.81,79.42
3524,日東製網,東証一部,繊維製品,4869,2605000,1869,45.00,20.7,269.86,1828.38
3526,芦森工業,東証一部,繊維製品,18686,6056939,3085,40.00,20.7,198.33,2282.00
3528,プロスペクト,東証二部,不動産,21383,403448312,53,3.00,17.3,-,63.35
3529,アツギ,東証一部,繊維製品,21753,17319568,1256,30.00,20.7,43.10,2959.58
3536,アクサスホールディングス,JQS,小売,4129,32258453,128,1.00,27.9,4.98,43.40
3537,昭栄薬品,JQS,卸売,3385,1193035,2837,45.00,14.3,219.62,5578.39
3538,ウイルプラスホールディングス,東証二部,小売,11538,4767640,2420,25.00,27.9,164.68,898.79
3539,ジャパンミート,東証二部,小売,46129,26679500,1729,20.00,27.9,85.22,812.70
3541,農業総合研究所,東証マザ,卸売,12011,4191000,2866,-,14.3,-16.70,144.09
3542,ベガコーポレーション,東証マザ,小売,17121,10344800,1655,0.00,27.9,56.07,356.26
3543,コメダホールディングス,東証一部,卸売,85501,44811600,1908,50.00,14.3,109.89,574.14
3544,サツドラホールディングス,東証一部,小売,9588,4742000,2022,28.00,27.9,108.82,1795.37
3545,デファクトスタンダード,東証マザ,小売,6467,4570000,1415,-,27.9,65.25,723.26
3546,ダイユー・リックホールディングス,東証一部,小売,15554,15174203,1025,26.00,27.9,81.38,836.86
3547,串カツ田中,東証マザ,小売,25573,3008600,8500,-,27.9,99.71,662.77
3548,バロックジャパンリミテッド,東証一部,小売,34651,36132400,959,38.00,27.9,61.80,434.68
3549,クスリのアオキホールディングス,東証一部,小売,196741,31478560,6250,16.00,27.9,260.61,1205.49
3550,スタジオアタオ,東証マザ,小売,13173,6252000,2107,0.00,27.9,54.38,204.25
3551,ダイニック,東証一部,繊維製品,9483,8504747,1115,25.00,20.7,112.09,2252.93
3553,共和レザー,東証一部,化学,23422,24500000,956,32.00,17.6,93.88,1193.24
3556,リネットジャパングループ,東証マザ,小売,4289,9048000,474,0.00,27.9,4.49,91.51
3557,ユナイテッド＆コレクティブ,東証マザ,小売,6173,1427200,4325,0.00,27.9,108.61,770.76
3558,ロコンド,東証マザ,小売,9012,5438660,1657,0.00,27.9,71.89,612.12
3559,ピーバンドットコム,東証マザ,卸売,3953,2190000,1805,0.00,14.3,78.08,281.74
3560,ほぼ日,JQS,小売,12205,2316000,5270,45.00,27.9,143.35,1291.86
3561,力の源ホールディングス,東証マザ,小売,25940,22754000,1140,4.00,27.9,20.62,149.39
3562,No.1,JQS,卸売,3400,1555900,2185,0.00,14.3,135.87,991.07
3563,スシローグローバルホールディングス,東証一部,小売,98166,27458920,3575,-,27.9,214.36,1065.89
3564,LIXILビバ,東証一部,小売,80943,44720000,1810,41.00,27.9,164.16,1223.37
3565,アセンテック,東証マザ,卸売,12943,3239900,3995,0.00,14.3,53.41,346.00
3566,ユニフォームネクスト,東証マザ,小売,5487,1208581,4540,20.00,27.9,209.00,940.93
3569,セーレン,東証一部,繊維製品,124808,64633646,1931,30.00,20.7,117.13,1190.14
3571,ソトー,東証一部,繊維製品,15801,13933757,1134,40.00,20.7,30.64,1241.23
3577,東海染工,東証一部,繊維製品,5559,3614252,1538,-,20.7,149.83,2030.26
3578,倉庫精練,東証二部,繊維製品,1671,7140078,234,-,20.7,-2.81,177.88
3580,小松精練,東証一部,繊維製品,38870,43140999,901,12.00,20.7,37.25,787.75
3583,オーベクス,東証二部,繊維製品,3680,3092623,1190,15.00,20.7,138.17,1564.45
3591,ワコールホールディングス,東証一部,繊維製品,239083,71689042,3335,72.00,20.7,131.22,3352.68
3593,ホギメディカル,東証一部,繊維製品,125173,16341155,7660,124.00,20.7,329.63,5834.03
3597,自重堂,東証二部,繊維製品,26411,16153506,1635,60.00,20.7,129.69,2057.38
3598,山喜,東証二部,繊維製品,4216,14950074,282,5.00,20.7,10.38,488.45
3600,フジックス,東証二部,繊維製品,2951,1468093,2010,62.50,20.7,17.43,5871.82
3604,川本産業,東証二部,繊維製品,1968,6000000,328,2.00,20.7,17.25,608.21
3606,レナウン,東証一部,繊維製品,20160,101307449,199,0.00,20.7,4.94,222.78
3607,クラウディアホールディングス,東証一部,繊維製品,5571,9689200,575,16.00,20.7,31.16,676.49
3608,TSIホールディングス,東証一部,繊維製品,113236,115783293,978,17.50,20.7,29.79,1063.97
3622,ネットイヤーグループ,東証マザ,情報通信,4318,6999000,617,3.25,23.8,63.44,214.66
3623,ビリングシステム,東証マザ,情報通信,11980,1641100,7300,25.00,23.8,57.73,1086.85
3624,アクセルマーク,東証マザ,情報通信,6001,4370900,1373,0.00,23.8,-67.26,177.31
3625,テックファームホールディングス,JQG,情報通信,10444,7702000,1356,3.00,23.8,4.06,517.01
3626,TIS,東証一部,情報通信,288387,87789098,3285,40.00,23.8,209.33,2290.62
3627,ネオス,東証一部,情報通信,4112,9038300,455,1.50,23.8,4.66,274.32
3628,データホライゾン,東証マザ,情報通信,5561,3565060,1560,8.00,23.8,37.11,258.22
3630,電算システム,東証一部,情報通信,21235,10040000,2115,25.00,23.8,69.21,897.70
3632,グリー,東証一部,情報通信,191382,241949800,791,-,23.8,-,466.41
3633,GMOペパボ,JQS,情報通信,8179,2717300,3010,0.00,23.8,0.00,427.08
3634,ソケッツ,東証マザ,情報通信,3620,2461000,1471,0.00,23.8,15.19,354.15
3635,コーエーテクモホールディングス,東証一部,情報通信,242916,107723374,2255,56.00,23.8,110.89,986.72
3636,三菱総合研究所,東証一部,情報通信,53378,16424080,3250,70.00,23.8,220.44,2619.24
3639,ボルテージ,東証一部,情報通信,5655,5197774,1088,-,23.8,37.21,731.77
3640,電算,東証一部,情報通信,13688,5837200,2345,35.00,23.8,112.42,1488.33
3641,パピレス,JQS,情報通信,25580,10326880,2477,5.00,23.8,129.33,482.25
3645,メディカルネット,東証マザ,情報通信,3280,5386500,609,2.00,23.8,15.78,282.19
3646,駅探,東証マザ,情報通信,5725,6888800,831,20.00,23.8,53.18,452.02
3647,ジー・スリーホールディングス,東証二部,情報通信,14212,76408601,186,3.00,23.8,9.46,21.57
3648,AGS,東証一部,情報通信,17875,8883966,2012,22.00,23.8,63.03,1236.61
3649,ファインデックス,東証一部,情報通信,20885,26138400,799,7.00,23.8,-,102.58
3652,ディジタルメディアプロフェッショナル,東証マザ,情報通信,11675,2753500,4240,0.00,23.8,-32.93,568.03
3653,モルフォ,東証マザ,情報通信,25305,5271800,4800,0.00,23.8,123.81,821.73
3654,ヒト・コミュニケーションズ,東証一部,情報通信,35102,17900000,1961,15.00,23.8,97.55,519.81
3655,ブレインパッド,東証一部,情報通信,8160,6760572,1207,0.00,23.8,28.10,206.62
3656,KLab,東証一部,情報通信,69271,38144900,1816,0.00,23.8,43.60,289.84
3657,ポールトゥウィン・ピットクルーホールディングス,東証一部,情報通信,31058,19054000,1630,19.00,23.8,80.63,473.74
3658,イーブックイニシアティブジャパン,東証一部,情報通信,6022,5529600,1089,0.00,23.8,22.61,541.09
3659,ネクソン,東証一部,情報通信,1284601,441140414,2912,0.00,23.8,-,958.70
3660,アイスタイル,東証一部,情報通信,49112,65922400,745,0.50,23.8,18.21,170.61
3661,エムアップ,東証一部,情報通信,9788,7471500,1310,22.00,23.8,41.54,281.19
3662,エイチーム,東証一部,情報通信,54905,19469800,2820,32.50,23.8,163.84,389.03
3663,アートスパークホールディングス,東証二部,情報通信,10402,6794220,1531,4.00,23.8,43.82,441.22
3664,モブキャスト,東証マザ,情報通信,13009,16100008,808,-,23.8,-,102.24
3665,エニグモ,東証マザ,情報通信,24668,21321000,1157,0.00,23.8,25.28,174.78
3666,テクノスジャパン,東証一部,情報通信,21910,20400000,1074,19.00,23.8,26.04,146.77
3667,enish,東証一部,情報通信,19551,7801600,2506,-,23.8,-,154.52
3668,コロプラ,東証一部,情報通信,152040,127443500,1193,17.00,23.8,59.86,532.35
3669,モバイルクリエイト,東証一部,情報通信,8476,23157600,366,5.00,23.8,7.77,193.50
3670,協立情報通信,JQS,情報通信,2252,1204300,1870,50.00,23.8,162.11,1123.93
3671,ソフトマックス,東証マザ,情報通信,3248,1986500,1635,20.00,23.8,80.04,794.38
3672,オルトプラス,東証一部,情報通信,11306,12703040,890,-,23.8,-,211.53
3673,ブロードリーフ,東証一部,情報通信,44886,48948400,917,22.00,23.8,27.98,421.38
3674,オークファン,東証マザ,情報通信,8348,9902500,843,0.00,23.8,32.62,265.60
3675,クロス・マーケティンググループ,東証マザ,情報通信,12246,19531164,627,6.50,23.8,12.85,206.44
3676,ハーツユナイテッドグループ,東証一部,情報通信,37795,23890800,1582,11.50,23.8,63.60,115.52
3677,システム情報,JQS,情報通信,12027,11826400,1017,14.00,23.8,44.09,183.68
3678,メディアドゥホールディングス,東証一部,情報通信,29181,11319200,2578,10.50,23.8,54.08,346.40
3679,じげん,東証マザ,情報通信,79924,55311000,1445,0.00,23.8,35.60,175.53
3680,ホットリンク,東証マザ,情報通信,8050,12983300,620,0.00,23.8,0.08,166.84
3681,ブイキューブ,東証一部,情報通信,13456,21091600,638,0.00,23.8,-27.87,142.95
3682,エンカレッジ・テクノロジ,東証マザ,情報通信,7229,3462100,2088,25.00,23.8,101.10,819.47
3683,サイバーリンクス,東証一部,情報通信,7003,4842755,1446,16.00,23.8,79.95,728.47
3685,みんなのウェディング,東証マザ,情報通信,5342,7709200,693,-,23.8,19.33,473.46
3686,ディー・エル・イー,東証一部,情報通信,8522,20242400,421,0.00,23.8,-9.73,93.33
3687,フィックスターズ,東証一部,情報通信,27083,6712000,4035,23.00,23.8,78.81,361.67
3688,VOYAGEグループ,東証一部,情報通信,17550,12221300,1436,15.00,23.8,92.06,649.37
3689,イグニス,東証マザ,情報通信,25953,6706100,3870,0.00,23.8,-,612.16
3690,ロックオン,東証マザ,情報通信,10313,6311694,1634,5.00,23.8,-,198.20
3691,リアルワールド,東証マザ,情報通信,4270,2744400,1556,0.00,23.8,-65.77,312.86
3692,FFRI,東証マザ,情報通信,33448,8178000,4090,0.00,23.8,28.69,112.42
3694,オプティム,東証一部,情報通信,34205,13330016,2566,-,23.8,0.00,187.05
3695,GMOリサーチ,東証マザ,情報通信,3912,1677000,2333,54.70,23.8,109.38,746.95
3696,セレス,東証一部,情報通信,13759,10799600,1274,0.00,23.8,37.41,416.86
3697,SHIFT,東証マザ,情報通信,29270,14490000,2020,0.00,23.8,34.70,133.52
3698,CRI・ミドルウェア,東証マザ,情報通信,9518,4931618,1930,0.00,23.8,14.61,402.40
3708,特種東海製紙,東証一部,パルプ・紙,73892,16329751,4525,50.00,23.5,154.33,4591.44
3710,ジョルダン,JQS,情報通信,5576,5255000,1061,13.00,23.8,63.83,885.28
3711,創通,JQS,情報通信,37590,15000000,2506,40.00,23.8,143.30,1359.95
3712,情報企画,東証二部,情報通信,8356,4090000,2043,55.00,23.8,194.33,844.20
3719,ジェクシード,JQS,情報通信,2313,18500732,125,0.00,23.8,0.13,28.81
3723,日本ファルコム,東証マザ,情報通信,9602,10280000,934,8.00,23.8,55.45,392.56
3724,ベリサーブ,東証一部,情報通信,17815,5216800,3415,22.00,23.8,199.36,1289.77
3726,フォーシーズホールディングス,東証二部,小売,3159,6973470,453,-,27.9,14.56,215.06
3727,アプリックス,東証マザ,情報通信,6689,14353930,466,0.00,23.8,-,72.68
3733,ソフトウェア・サービス,JQS,情報通信,29086,5488000,5300,75.00,23.8,439.48,2932.72
3738,ティーガイア,東証一部,情報通信,170800,79074000,2160,55.00,23.8,182.13,527.90
3739,コムシード,名証セント,情報通信,2549,5602129,455,0.00,23.8,12.50,124.95
3741,セック,東証一部,情報通信,12826,5120000,2505,28.00,23.8,70.32,979.00
3742,ITbook,東証マザ,情報通信,8522,16710000,510,0.00,23.8,8.98,41.77
3744,サイオステクノロジー,東証二部,情報通信,6390,8874400,720,5.00,23.8,37.11,195.85
3747,インタートレード,東証二部,情報通信,2248,7444800,302,0.00,23.8,-38.97,207.08
3750,セブンシーズホールディングス,東証二部,情報通信,2901,1436639,2019,0.00,23.8,-107.44,1898.04
3751,日本アジアグループ,東証一部,情報通信,12140,27652880,439,10.00,23.8,37.36,986.74
3753,フライトホールディングス,東証二部,情報通信,8312,9456500,879,0.00,23.8,21.15,82.03
3754,エキサイト,JQS,情報通信,5143,6310600,815,15.00,23.8,-,867.08
3756,豆蔵ホールディングス,東証一部,情報通信,24087,19535400,1233,12.00,23.8,73.25,368.80
3758,アエリア,JQS,情報通信,33621,17911833,1877,10.00,23.8,151.65,437.32
3760,ケイブ,JQS,情報通信,5181,2782600,1862,0.00,23.8,-,236.15
3762,テクマトリックス,東証一部,情報通信,39813,24759200,1608,18.00,23.8,80.60,271.56
3763,プロシップ,東証一部,情報通信,19435,7515600,2586,60.00,23.8,132.31,940.89
3765,ガンホー・オンライン・エンターテイメント,東証一部,情報通信,290391,952103160,305,-,23.8,-,68.69
3766,システムズ・デザイン,JQS,情報通信,2766,3940000,702,13.00,23.8,37.18,1043.36
3768,リスクモンスター,東証二部,情報通信,4312,3923500,1099,14.00,23.8,65.47,1089.59
3769,GMOペイメントゲートウェイ,東証一部,情報通信,301662,37150500,8120,37.00,23.8,74.35,510.01
3770,ザッパラス,東証一部,情報通信,6252,13651000,458,-,23.8,-,599.29
3771,システムリサーチ,東証一部,情報通信,9438,4180000,2258,40.00,23.8,181.13,958.55
3772,ウェルス・マネジメント,東証二部,情報通信,8434,4136100,2039,-,23.8,241.78,841.39
3773,アドバンスト・メディア,東証マザ,情報通信,14305,15929405,898,0.00,23.8,0.94,288.84
3774,インターネットイニシアティブ,東証一部,情報通信,104826,46713800,2244,27.00,23.8,88.76,1495.44
3775,ガイアックス,名証セント,情報通信,3084,5147752,599,0.00,23.8,-,222.16
3776,ブロードバンドタワー,JQS,情報通信,11072,51979500,213,2.00,23.8,1.96,157.90
3777,ジオネクスト,JQG,情報通信,5483,111890380,49,0.00,23.8,0.60,17.66
3778,さくらインターネット,東証一部,情報通信,32805,37620700,872,2.50,23.8,14.09,200.45
3779,ジェイ・エスコムホールディングス,JQS,情報通信,1592,10472990,152,0.00,23.8,7.45,22.63
3782,ディー・ディー・エス,東証マザ,情報通信,24737,37708300,656,0.00,23.8,7.42,35.70
3784,ヴィンクス,東証一部,情報通信,12899,8859000,1456,20.00,23.8,97.08,838.11
3787,テクノマセマティカル,東証二部,情報通信,2793,2593100,1077,0.00,23.8,0.39,1033.54
3788,GMOクラウド,東証一部,情報通信,34646,11693000,2963,23.80,23.8,47.75,419.29
3791,IGポート,JQS,情報通信,11673,5055400,2309,5.00,23.8,74.84,961.86
3793,ドリコム,東証マザ,情報通信,35151,28742000,1223,0.00,23.8,-,113.04
3794,エヌ・デーソフトウェア,東証二部,情報通信,24372,17854968,1365,17.50,23.8,57.15,510.18
3796,いい生活,東証二部,情報通信,2818,7280700,387,5.00,23.8,4.78,239.07
3798,ULSグループ,JQS,情報通信,10886,6160800,1767,14.00,23.8,69.69,716.70
3799,キーウェアソリューションズ,東証二部,情報通信,5156,9110000,566,7.00,23.8,17.86,657.41
3800,ユニリタ,JQS,情報通信,14816,8500000,1743,46.00,23.8,139.20,1277.72
3802,エコミック,札証アンビ,情報通信,1285,1602000,802,8.00,23.8,41.82,316.15
3803,イメージ情報開発,JQG,情報通信,1593,1780000,895,0.00,23.8,31.21,230.11
3804,システムディ,JQS,情報通信,3649,3249000,1123,5.00,23.8,66.53,558.00
3807,フィスコ,JQG,情報通信,13120,38362000,342,-,23.8,27.94,70.84
3808,オウケイウェイヴ,名証セント,情報通信,4445,8732200,509,0.00,23.8,13.74,169.48
3810,サイバーステップ,東証二部,情報通信,16352,5882001,2780,0.00,23.8,4.61,266.24
3814,アルファクス・フード・システム,JQG,情報通信,3376,2513800,1343,10.00,23.8,44.91,288.93
3815,メディア工房,東証マザ,情報通信,6260,11300000,554,0.00,23.8,1.44,141.82
3816,大和コンピューター,JQS,情報通信,3142,2720223,1155,19.00,23.8,81.42,1191.61
3817,SRAホールディングス,東証一部,情報通信,47930,15240000,3145,110.00,23.8,213.74,1639.97
3822,Minoriソリューションズ,東証一部,情報通信,11779,8790000,1340,33.00,23.8,106.38,753.53
3823,アクロディア,東証マザ,情報通信,6727,20955693,321,-,23.8,-0.10,14.55
3824,メディアファイブ,福証QB,情報通信,778,909600,855,10.00,23.8,39.37,459.51
3825,リミックスポイント,東証二部,情報通信,42688,47431500,900,-,23.8,9.99,61.65
3826,システムインテグレータ,東証一部,情報通信,4869,5539200,879,16.00,23.8,51.09,236.86
